time,.data
2020/04/03/19:47:07.040028,"(-10.139450073242188, -0.3088531494140625, -0.3926544189453125)"
2020/04/03/19:47:07.141350,"(-10.093948364257812, -0.3399810791015625, -0.407012939453125)"
2020/04/03/19:47:07.244445,"(-10.055648803710938, -0.284912109375, -0.4261627197265625)"
2020/04/03/19:47:07.348950,"(-10.11669921875, -0.3363800048828125, -0.3902587890625)"
2020/04/03/19:47:07.454319,"(-10.202896118164062, -0.317230224609375, -0.3148345947265625)"
2020/04/03/19:47:07.556868,"(-10.16937255859375, -0.3148345947265625, -0.363922119140625)"
2020/04/03/19:47:07.661715,"(-10.072402954101562, -0.33758544921875, -0.36871337890625)"
2020/04/03/19:47:07.765111,"(-10.16339111328125, -0.3136444091796875, -0.379486083984375)"
2020/04/03/19:47:07.869898,"(-10.071212768554688, -0.3040618896484375, -0.3675079345703125)"
2020/04/03/19:47:07.974845,"(-10.193313598632812, -0.3244171142578125, -0.332794189453125)"
2020/04/03/19:47:08.077423,"(-10.166976928710938, -0.3184356689453125, -0.348358154296875)"
2020/04/03/19:47:08.178396,"(-10.11669921875, -0.333984375, -0.3818817138671875)"
2020/04/03/19:47:08.279267,"(-10.11669921875, -0.307647705078125, -0.391448974609375)"
2020/04/03/19:47:08.381977,"(-10.1478271484375, -0.3028717041015625, -0.3878631591796875)"
2020/04/03/19:47:08.488175,"(-10.08917236328125, -0.338775634765625, -0.3627166748046875)"
2020/04/03/19:47:08.592510,"(-10.076004028320312, -0.3196258544921875, -0.401031494140625)"
2020/04/03/19:47:08.694994,"(-10.092758178710938, -0.3411712646484375, -0.369903564453125)"
2020/04/03/19:47:08.800260,"(-10.062835693359375, -0.2944793701171875, -0.3663177490234375)"
2020/04/03/19:47:08.903424,"(-10.09515380859375, -0.3088531494140625, -0.3842620849609375)"
2020/04/03/19:47:09.007667,"(-10.160995483398438, -0.3100433349609375, -0.422576904296875)"
2020/04/03/19:47:09.114458,"(-10.174163818359375, -0.307647705078125, -0.3663177490234375)"
2020/04/03/19:47:09.216466,"(-10.140640258789062, -0.322021484375, -0.42138671875)"
2020/04/03/19:47:09.321894,"(-10.171768188476562, -0.3303985595703125, -0.385467529296875)"
2020/04/03/19:47:09.428350,"(-10.171768188476562, -0.30047607421875, -0.3675079345703125)"
2020/04/03/19:47:09.530677,"(-10.056838989257812, -0.311248779296875, -0.40582275390625)"
2020/04/03/19:47:09.634834,"(-10.061630249023438, -0.33758544921875, -0.4082183837890625)"
2020/04/03/19:47:09.739096,"(-10.062835693359375, -0.311248779296875, -0.4261627197265625)"
2020/04/03/19:47:09.843764,"(-10.10711669921875, -0.3196258544921875, -0.407012939453125)"
2020/04/03/19:47:09.947761,"(-10.143035888671875, -0.333984375, -0.3770904541015625)"
2020/04/03/19:47:10.052000,"(-10.230422973632812, -0.3196258544921875, -0.354339599609375)"
2020/04/03/19:47:10.156463,"(-10.1597900390625, -0.3196258544921875, -0.4094085693359375)"
2020/04/03/19:47:10.261075,"(-10.05804443359375, -0.30047607421875, -0.428558349609375)"
2020/04/03/19:47:10.364718,"(-10.087966918945312, -0.305267333984375, -0.3902587890625)"
2020/04/03/19:47:10.469855,"(-10.091552734375, -0.33160400390625, -0.357940673828125)"
2020/04/03/19:47:10.577824,"(-10.149017333984375, -0.2980804443359375, -0.3651123046875)"
2020/04/03/19:47:10.678122,"(-10.081985473632812, -0.305267333984375, -0.41180419921875)"
2020/04/03/19:47:10.782727,"(-10.111907958984375, -0.2980804443359375, -0.3890533447265625)"
2020/04/03/19:47:10.887131,"(-10.114303588867188, -0.322021484375, -0.3890533447265625)"
2020/04/03/19:47:10.999877,"(-10.081985473632812, -0.326812744140625, -0.3926544189453125)"
2020/04/03/19:47:11.105088,"(-10.10113525390625, -0.317230224609375, -0.4046173095703125)"
2020/04/03/19:47:11.209211,"(-10.123886108398438, -0.3399810791015625, -0.3734893798828125)"
2020/04/03/19:47:11.313816,"(-10.150222778320312, -0.3351898193359375, -0.4105987548828125)"
2020/04/03/19:47:11.415324,"(-10.099945068359375, -0.3519439697265625, -0.37469482421875)"
2020/04/03/19:47:11.518775,"(-10.149017333984375, -0.3184356689453125, -0.342376708984375)"
2020/04/03/19:47:11.622371,"(-10.119094848632812, -0.338775634765625, -0.3675079345703125)"
2020/04/03/19:47:11.726419,"(-10.180145263671875, -0.2944793701171875, -0.375885009765625)"
2020/04/03/19:47:11.830824,"(-10.16339111328125, -0.2944793701171875, -0.3830718994140625)"
2020/04/03/19:47:11.934829,"(-10.182540893554688, -0.305267333984375, -0.4465179443359375)"
2020/04/03/19:47:12.040046,"(-10.108322143554688, -0.3040618896484375, -0.433349609375)"
2020/04/03/19:47:12.145989,"(-10.068817138671875, -0.30047607421875, -0.4189910888671875)"
2020/04/03/19:47:12.248491,"(-10.120285034179688, -0.3280029296875, -0.348358154296875)"
2020/04/03/19:47:12.354025,"(-10.162185668945312, -0.3136444091796875, -0.401031494140625)"
2020/04/03/19:47:12.458752,"(-10.193313598632812, -0.2992706298828125, -0.3447723388671875)"
2020/04/03/19:47:12.562367,"(-10.14422607421875, -0.2920989990234375, -0.41778564453125)"
2020/04/03/19:47:12.666735,"(-10.121490478515625, -0.3160400390625, -0.4034271240234375)"
2020/04/03/19:47:12.771342,"(-10.055648803710938, -0.332794189453125, -0.37109375)"
2020/04/03/19:47:12.873482,"(-10.07000732421875, -0.3196258544921875, -0.428558349609375)"
2020/04/03/19:47:12.974297,"(-9.998184204101562, -0.295684814453125, -0.4189910888671875)"
