time,.data
2020/04/03/19:47:07.081421,"(36.663818359375, -18.83697509765625, 15.28167724609375)"
2020/04/03/19:47:07.181357,"(37.237548828125, -18.8446044921875, 15.252685546875)"
2020/04/03/19:47:07.280069,"(37.2161865234375, -19.0155029296875, 15.57159423828125)"
2020/04/03/19:47:07.380485,"(36.70806884765625, -18.829345703125, 14.64385986328125)"
2020/04/03/19:47:07.483835,"(36.95831298828125, -19.5220947265625, 15.26641845703125)"
2020/04/03/19:47:07.582493,"(37.2650146484375, -19.354248046875, 14.93377685546875)"
2020/04/03/19:47:07.682558,"(36.3983154296875, -18.65234375, 14.97802734375)"
2020/04/03/19:47:07.784094,"(36.175537109375, -18.47076416015625, 14.03656005859375)"
2020/04/03/19:47:07.885231,"(36.6790771484375, -18.3197021484375, 14.96429443359375)"
2020/04/03/19:47:07.985775,"(36.090087890625, -18.829345703125, 15.3106689453125)"
2020/04/03/19:47:08.085896,"(36.42120361328125, -18.8262939453125, 14.65911865234375)"
2020/04/03/19:47:08.186607,"(36.73248291015625, -18.994140625, 14.324951171875)"
2020/04/03/19:47:08.289811,"(36.35711669921875, -19.00482177734375, 15.61431884765625)"
2020/04/03/19:47:08.387526,"(35.5224609375, -19.15740966796875, 15.33966064453125)"
2020/04/03/19:47:08.491673,"(36.61956787109375, -18.8446044921875, 15.91949462890625)"
2020/04/03/19:47:08.589914,"(36.36932373046875, -18.1427001953125, 15.29693603515625)"
2020/04/03/19:47:08.683712,"(36.02294921875, -18.66302490234375, 16.26739501953125)"
2020/04/03/19:47:08.784351,"(36.52496337890625, -18.2952880859375, 13.067626953125)"
2020/04/03/19:47:08.881876,"(37.5274658203125, -19.183349609375, 15.2374267578125)"
2020/04/03/19:47:08.983076,"(36.68365478515625, -18.6553955078125, 14.9627685546875)"
2020/04/03/19:47:09.083319,"(37.5274658203125, -19.183349609375, 15.2374267578125)"
2020/04/03/19:47:09.183981,"(36.39373779296875, -18.316650390625, 14.97802734375)"
2020/04/03/19:47:09.283930,"(36.993408203125, -18.8323974609375, 14.630126953125)"
2020/04/03/19:47:09.389080,"(36.4654541015625, -18.81866455078125, 14.0228271484375)"
2020/04/03/19:47:09.487450,"(36.61956787109375, -18.8446044921875, 15.91949462890625)"
2020/04/03/19:47:09.586554,"(36.97357177734375, -19.00482177734375, 14.947509765625)"
2020/04/03/19:47:09.687454,"(35.82763671875, -18.98956298828125, 15.0054931640625)"
2020/04/03/19:47:09.791765,"(35.8001708984375, -18.4814453125, 15.325927734375)"
2020/04/03/19:47:09.894656,"(36.39373779296875, -18.316650390625, 14.97802734375)"
2020/04/03/19:47:09.989066,"(36.7523193359375, -18.8232421875, 14.007568359375)"
2020/04/03/19:47:10.089732,"(36.7034912109375, -18.4844970703125, 14.6453857421875)"
2020/04/03/19:47:10.182894,"(37.55035400390625, -19.3572998046875, 14.91851806640625)"
2020/04/03/19:47:10.283433,"(36.77215576171875, -18.64166259765625, 13.68865966796875)"
2020/04/03/19:47:10.384265,"(36.39373779296875, -18.316650390625, 14.97802734375)"
2020/04/03/19:47:10.483094,"(36.7279052734375, -18.6492919921875, 14.32647705078125)"
2020/04/03/19:47:10.578576,"(37.2802734375, -18.83697509765625, 14.61639404296875)"
2020/04/03/19:47:10.675512,"(36.99798583984375, -19.16961669921875, 14.62860107421875)"
2020/04/03/19:47:10.775751,"(37.0574951171875, -18.64471435546875, 13.6749267578125)"
2020/04/03/19:47:10.875025,"(37.02239990234375, -19.34356689453125, 14.3096923828125)"
2020/04/03/19:47:10.976660,"(35.8612060546875, -17.95654296875, 14.3707275390625)"
2020/04/03/19:47:11.076484,"(36.993408203125, -18.8323974609375, 14.630126953125)"
2020/04/03/19:47:11.177149,"(36.7034912109375, -18.4844970703125, 14.6453857421875)"
2020/04/03/19:47:11.277323,"(37.237548828125, -18.8446044921875, 15.252685546875)"
2020/04/03/19:47:11.379113,"(36.444091796875, -18.98956298828125, 14.3402099609375)"
2020/04/03/19:47:11.479737,"(37.2161865234375, -19.0155029296875, 15.57159423828125)"
2020/04/03/19:47:11.580413,"(36.35406494140625, -18.658447265625, 15.6158447265625)"
2020/04/03/19:47:11.680802,"(36.75537109375, -19.15740966796875, 14.007568359375)"
2020/04/03/19:47:11.783125,"(36.59515380859375, -18.670654296875, 16.2384033203125)"
2020/04/03/19:47:11.885296,"(37.19635009765625, -19.1864013671875, 15.88897705078125)"
2020/04/03/19:47:11.983071,"(36.72332763671875, -18.3135986328125, 14.32647705078125)"
2020/04/03/19:47:12.083895,"(36.663818359375, -18.83697509765625, 15.28167724609375)"
2020/04/03/19:47:12.186280,"(36.97357177734375, -19.00482177734375, 14.947509765625)"
2020/04/03/19:47:12.284916,"(37.28485107421875, -19.17266845703125, 14.6148681640625)"
2020/04/03/19:47:12.385809,"(36.93084716796875, -19.012451171875, 15.5853271484375)"
2020/04/03/19:47:12.488781,"(36.4654541015625, -18.81866455078125, 14.0228271484375)"
2020/04/03/19:47:12.588215,"(36.9781494140625, -19.34967041015625, 14.947509765625)"
2020/04/03/19:47:12.688999,"(36.61956787109375, -18.8446044921875, 15.91949462890625)"
2020/04/03/19:47:12.789387,"(36.126708984375, -18.13201904296875, 14.6759033203125)"
2020/04/03/19:47:12.892237,"(36.798095703125, -19.15130615234375, 13.3697509765625)"
2020/04/03/19:47:12.991224,"(36.90643310546875, -18.84765625, 15.90423583984375)"
2020/04/03/19:47:13.090823,"(37.39166259765625, -18.98651123046875, 13.0218505859375)"
2020/04/03/19:47:13.191709,"(37.30010986328125, -18.6553955078125, 14.2974853515625)"
2020/04/03/19:47:13.295961,"(36.7034912109375, -18.4844970703125, 14.6453857421875)"
2020/04/03/19:47:13.394899,"(37.19329833984375, -18.8507080078125, 15.8905029296875)"
2020/04/03/19:47:13.496561,"(37.2406005859375, -19.1802978515625, 15.252685546875)"
2020/04/03/19:47:13.597127,"(36.0870361328125, -18.4844970703125, 15.3106689453125)"
2020/04/03/19:47:13.697355,"(36.93084716796875, -19.012451171875, 15.5853271484375)"
2020/04/03/19:47:13.797987,"(36.7279052734375, -18.6492919921875, 14.32647705078125)"
2020/04/03/19:47:13.898906,"(36.93084716796875, -19.012451171875, 15.5853271484375)"
2020/04/03/19:47:13.998118,"(37.2802734375, -18.83697509765625, 14.61639404296875)"
2020/04/03/19:47:14.101871,"(37.48321533203125, -19.19097900390625, 15.875244140625)"
2020/04/03/19:47:14.198762,"(36.93084716796875, -19.012451171875, 15.5853271484375)"
2020/04/03/19:47:14.300741,"(36.7279052734375, -18.6492919921875, 14.32647705078125)"
