time,.x,.y,.z,.w
2020/04/03/19:47:07.072162,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:07.101217,0.00619985113391,0.719164136153,-0.00598813439258,0.694786765392
2020/04/03/19:47:07.150839,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:07.183255,0.00619931543608,0.719164441472,-0.00598761166652,0.694786458646
2020/04/03/19:47:07.215733,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:07.248585,0.00620017013893,0.719163335389,-0.00598678659409,0.694787603019
2020/04/03/19:47:07.278451,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:07.308743,0.00620017013893,0.719163335389,-0.00598678659409,0.694787603019
2020/04/03/19:47:07.348614,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:07.388654,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:07.418310,0.0061998571163,0.719164830026,-0.00598812820189,0.694786047173
2020/04/03/19:47:07.457601,0.0062007050378,0.719162937552,-0.00598731014593,0.694788005528
2020/04/03/19:47:07.498554,0.00620016076599,0.719162248318,-0.00598679629062,0.694788728227
2020/04/03/19:47:07.548283,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:07.578900,0.00619841409435,0.719164269977,-0.00599034020869,0.694786620679
2020/04/03/19:47:07.609387,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:07.639267,0.00619985372628,0.719164436831,-0.00598813170995,0.694786454164
2020/04/03/19:47:07.689611,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:07.720878,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:07.751440,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:07.802982,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:07.834440,0.00619787839546,0.719164575295,-0.00598981748212,0.694786313935
2020/04/03/19:47:07.866709,0.00619872970431,0.719163076018,-0.00598899591474,0.694787865301
2020/04/03/19:47:07.898232,0.00619931543608,0.719164441472,-0.00598761166652,0.694786458646
2020/04/03/19:47:07.928353,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:07.958979,0.00620070842831,0.719163330748,-0.00598730663837,0.694787598538
2020/04/03/19:47:07.988790,0.0061963518107,0.719164981673,-0.00599233216803,0.694785885229
2020/04/03/19:47:08.019046,0.00619872372378,0.719162382143,-0.00598900210545,0.694788583519
2020/04/03/19:47:08.048130,0.00619925884043,0.71916495662,-0.00598848359805,0.694785918412
2020/04/03/19:47:08.077740,0.00620069588199,0.719164822794,-0.00598627778304,0.694786063119
2020/04/03/19:47:08.107332,0.00619979374149,0.719164558786,-0.00598900714917,0.69478632092
2020/04/03/19:47:08.137264,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:08.166680,0.0061992554512,0.719164563426,-0.00598848710584,0.694786325403
2020/04/03/19:47:08.195069,0.00619925884043,0.71916495662,-0.00598848359805,0.694785918412
2020/04/03/19:47:08.224472,0.00619985372628,0.719164436831,-0.00598813170995,0.694786454164
2020/04/03/19:47:08.254366,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:08.285051,0.00619931543608,0.719164441472,-0.00598761166652,0.694786458646
2020/04/03/19:47:08.325085,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:08.364495,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:08.416340,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:08.447591,0.00619979713102,0.71916495198,-0.00598900364107,0.694785913929
2020/04/03/19:47:08.477943,0.00619979374149,0.719164558786,-0.00598900714917,0.69478632092
2020/04/03/19:47:08.507447,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:08.536392,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:08.566025,0.00620017013893,0.719163335389,-0.00598678659409,0.694787603019
2020/04/03/19:47:08.597544,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:08.628108,0.00619985372628,0.719164436831,-0.00598813170995,0.694786454164
2020/04/03/19:47:08.658673,0.00619841409435,0.719164269977,-0.00599034020869,0.694786620679
2020/04/03/19:47:08.690428,0.0061992654017,0.719162770699,-0.00598951864209,0.694788172046
2020/04/03/19:47:08.719986,0.00619931284393,0.719164140793,-0.00598761434892,0.694786769874
2020/04/03/19:47:08.770195,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:08.800691,0.00619872970431,0.719163076018,-0.00598899591474,0.694787865301
2020/04/03/19:47:08.831613,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:08.862214,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:08.892515,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:08.945462,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:08.975404,0.00619787241579,0.719163881422,-0.0059898236737,0.694787032153
2020/04/03/19:47:09.005837,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:09.038213,0.00620069905455,0.719162243677,-0.00598731633574,0.694788723745
2020/04/03/19:47:09.068521,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:09.097971,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:09.147724,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:09.177319,0.00619872970431,0.719163076018,-0.00598899591474,0.694787865301
